trip_id,driver_id,passenger_count,city,pickup_location,dropoff_location,distance_km,duration_minutes,fare,tip,total_amount,payment_method,vehicle_type,driver_rating,status,timestamp
f16c5359,DRV-3088,4,Chicago,O'Hare Airport,River North,32.53,137,56.81,3.32,60.13,Cash,Electric,4.81,In Progress,2025-11-17 17:07:54.318118
abec2750,DRV-3274,3,San Francisco,SFO Airport,Fisherman's Wharf,3.25,9,12.72,9.07,21.79,Debit Card,Economy,4.55,Completed,2025-11-17 17:07:53.022526
e91596ec,DRV-8747,1,Chicago,O'Hare Airport,River North,17.02,52,53.02,6.16,59.18,Debit Card,Economy,4.85,In Progress,2025-11-17 17:07:51.126784
5c196c39,DRV-3997,1,Miami,Brickell,Downtown,6.0,23,38.9,0.0,38.9,Debit Card,Comfort,4.91,In Progress,2025-11-17 17:07:49.482275
48862568,DRV-8575,3,Los Angeles,Santa Monica,LAX Airport,27.42,73,60.68,3.16,63.84,Credit Card,Electric,4.6,Completed,2025-11-17 17:07:47.959180
a53673e6,DRV-8340,4,Miami,Coral Gables,Brickell,5.09,19,14.35,5.22,19.57,Credit Card,SUV,4.75,In Progress,2025-11-17 17:07:47.076209
78ba7440,DRV-8956,2,Miami,Wynwood,South Beach,27.63,111,118.13,3.17,121.3,Digital Wallet,Premium,4.93,In Progress,2025-11-17 17:07:46.293465
209f6490,DRV-7681,3,Los Angeles,Beverly Hills,Downtown,4.73,18,14.02,7.58,21.6,Credit Card,Electric,4.56,Cancelled,2025-11-17 17:07:45.329136
dffbf290,DRV-9330,2,Los Angeles,Downtown,Hollywood,18.66,83,41.39,3.19,44.58,Credit Card,Electric,4.81,In Progress,2025-11-17 17:07:44.185184
ec801498,DRV-6862,4,Chicago,Navy Pier,River North,2.67,11,20.13,5.33,25.46,Credit Card,Electric,4.69,Completed,2025-11-17 17:07:42.721705
a37d9482,DRV-7480,3,San Francisco,Financial District,Fisherman's Wharf,29.64,79,91.12,6.53,97.65,Debit Card,SUV,4.91,Completed,2025-11-17 17:07:41.735715
ca8aa8a6,DRV-8871,3,San Francisco,Downtown,SFO Airport,23.44,95,41.24,0.0,41.24,Corporate Account,Electric,4.94,Cancelled,2025-11-17 17:07:40.199732
e14b7207,DRV-8886,3,Chicago,Navy Pier,Loop,5.0,20,16.7,0.0,16.7,Cash,Premium,4.67,Cancelled,2025-11-17 17:07:39.626825
ca04ed8e,DRV-8163,3,New York,Staten Island,Manhattan,19.0,83,43.45,0.0,43.45,Credit Card,Economy,4.94,Cancelled,2025-11-17 17:07:38.314982
27db4010,DRV-4396,2,Miami,Wynwood,South Beach,26.55,73,72.96,0.0,72.96,Cash,Electric,4.5,In Progress,2025-11-17 17:07:36.885567
c049fd23,DRV-5301,4,Miami,Coral Gables,Wynwood,20.28,73,39.82,9.36,49.18,Credit Card,Economy,4.8,In Progress,2025-11-17 17:07:35.394906
e367aa73,DRV-4595,1,Los Angeles,Downtown,LAX Airport,11.52,47,23.0,2.64,25.64,Debit Card,Comfort,4.87,In Progress,2025-11-17 17:07:33.616980
e5ddad81,DRV-9740,2,Los Angeles,Santa Monica,Beverly Hills,13.24,51,29.72,4.16,33.88,Credit Card,Electric,4.95,In Progress,2025-11-17 17:07:32.088396
05f6b5a2,DRV-4022,1,Chicago,Wicker Park,River North,29.35,112,73.61,0.0,73.61,Corporate Account,Electric,4.59,Completed,2025-11-17 17:07:31.484117
48d7edc6,DRV-7973,2,Miami,Wynwood,Brickell,8.71,26,19.11,0.0,19.11,Cash,Economy,4.56,Cancelled,2025-11-17 17:07:30.160339
69d520bd,DRV-4697,2,Los Angeles,Downtown,Beverly Hills,10.72,40,30.56,0.0,30.56,Credit Card,Premium,4.77,Cancelled,2025-11-17 17:07:28.273959
5c84db85,DRV-6343,3,Los Angeles,Hollywood,Beverly Hills,16.99,71,49.92,6.53,56.45,Cash,Electric,4.53,In Progress,2025-11-17 17:07:26.601058
b91a6824,DRV-6187,2,Miami,Brickell,South Beach,29.26,104,74.64,9.42,84.06,Digital Wallet,Economy,4.51,Cancelled,2025-11-17 17:07:25.197017
f94fd243,DRV-3212,3,New York,JFK Airport,Bronx,2.51,10,10.99,0.0,10.99,Digital Wallet,Comfort,4.67,In Progress,2025-11-17 17:07:24.124131
047f9e43,DRV-6962,4,San Francisco,Financial District,Marina,34.97,156,73.66,0.0,73.66,Cash,Premium,4.87,Cancelled,2025-11-17 17:07:22.523877
3f468b29,DRV-2429,2,Miami,Wynwood,South Beach,19.91,54,59.71,8.64,68.35,Digital Wallet,Economy,4.71,Completed,2025-11-17 17:07:21.398256
951e38e2,DRV-7822,1,Chicago,O'Hare Airport,Wicker Park,18.89,50,43.68,0.0,43.68,Corporate Account,Comfort,4.51,Completed,2025-11-17 17:07:19.442681
80d1801e,DRV-9011,2,Los Angeles,Downtown,Beverly Hills,4.51,15,17.46,9.62,27.08,Cash,Economy,4.72,Completed,2025-11-17 17:07:18.207838
e31455f8,DRV-6354,1,San Francisco,Fisherman's Wharf,SFO Airport,11.24,44,35.96,0.0,35.96,Debit Card,Premium,4.63,Cancelled,2025-11-17 17:07:17.564589
5246511d,DRV-7715,2,Chicago,Loop,Lincoln Park,4.52,12,16.53,2.22,18.75,Digital Wallet,Premium,4.53,In Progress,2025-11-17 17:07:16.119267
8878b6a3,DRV-1215,3,San Francisco,Financial District,SFO Airport,25.76,84,73.05,6.29,79.34,Digital Wallet,Comfort,4.91,Cancelled,2025-11-17 17:07:15.597456
1946e9a9,DRV-4266,2,Miami,South Beach,Downtown,5.09,19,14.27,8.31,22.58,Corporate Account,Economy,4.85,Cancelled,2025-11-17 17:07:14.344568
9d9c5414,DRV-8448,1,Chicago,Navy Pier,River North,32.81,113,59.58,4.84,64.42,Digital Wallet,SUV,4.85,Completed,2025-11-17 17:07:12.921198
00428698,DRV-6701,2,Miami,Coral Gables,Brickell,8.37,36,21.01,9.38,30.39,Digital Wallet,Premium,4.87,Cancelled,2025-11-17 17:07:12.073262
1143e77e,DRV-9786,3,New York,Brooklyn,JFK Airport,10.19,28,30.49,8.68,39.17,Credit Card,Comfort,4.99,Cancelled,2025-11-17 17:07:11.435379
cfb667a7,DRV-7113,2,Los Angeles,LAX Airport,Beverly Hills,19.85,60,49.71,9.12,58.83,Corporate Account,Economy,4.57,Cancelled,2025-11-17 17:07:10.524025
ebfa3486,DRV-1979,1,San Francisco,Mission District,Fisherman's Wharf,9.31,31,31.23,4.68,35.91,Cash,SUV,4.96,Completed,2025-11-17 17:07:08.690267
0039f1c1,DRV-1564,1,New York,Bronx,LaGuardia Airport,28.25,77,56.82,0.0,56.82,Digital Wallet,Economy,4.67,In Progress,2025-11-17 17:07:07.364903
564caf79,DRV-3956,4,Los Angeles,Hollywood,Downtown,22.96,99,161.39,9.85,171.24,Cash,SUV,4.58,Cancelled,2025-11-17 17:07:06.661726
c1f06dbc,DRV-9516,1,New York,Brooklyn,Staten Island,6.63,25,37.05,2.53,39.58,Debit Card,SUV,4.95,In Progress,2025-11-17 17:07:05.052690
30aba9bb,DRV-4361,2,Chicago,Loop,O'Hare Airport,11.06,48,36.26,9.05,45.31,Cash,Comfort,4.71,Cancelled,2025-11-17 17:07:04.023173
f7cef41e,DRV-9079,2,New York,Brooklyn,Staten Island,21.03,88,38.71,9.6,48.31,Debit Card,Comfort,4.64,Completed,2025-11-17 17:07:02.469565
efcc198a,DRV-1716,1,San Francisco,Financial District,Mission District,9.55,34,32.1,6.68,38.78,Digital Wallet,Premium,4.63,Cancelled,2025-11-17 17:07:01.495061
d5c3158a,DRV-2169,2,Chicago,River North,Wicker Park,5.78,16,15.93,5.14,21.07,Cash,SUV,4.73,Cancelled,2025-11-17 17:07:00.284794
8e0f4733,DRV-2800,3,San Francisco,Fisherman's Wharf,Downtown,4.44,13,17.83,8.68,26.51,Corporate Account,Economy,4.51,Completed,2025-11-17 17:06:59.328315
9774eb07,DRV-2051,3,San Francisco,Mission District,Marina,6.39,24,21.47,6.73,28.2,Corporate Account,Comfort,4.99,In Progress,2025-11-17 17:06:58.666788
40769470,DRV-8081,4,Los Angeles,Downtown,Beverly Hills,6.51,23,16.27,0.0,16.27,Cash,Comfort,4.52,In Progress,2025-11-17 17:06:57.451585
5d86f1cf,DRV-5014,1,San Francisco,Financial District,Fisherman's Wharf,23.18,73,132.39,0.0,132.39,Cash,Electric,4.7,Cancelled,2025-11-17 17:06:56.244190
